k_active,trajectory,seed,control,official_w_corr_global,centered_w_corr_global,alpha_mae,alpha_temporal_variation_ratio,w_temporal_variation_ratio,w_relative_innovation_error
10,simple,20260729,constant_mean_alpha,0.9908009437882018,0.3705614325981955,0.16037600000000002,2.2449368178822693e-16,5.432310702985434e-15,0.9178611584432378
10,simple,20260730,constant_mean_alpha,0.9908009437882018,0.3705614325981955,0.16037600000000002,2.2449368178822693e-16,5.432310702985434e-15,0.9178611584432378
10,simple,20260731,constant_mean_alpha,0.9908009437882018,0.3705614325981955,0.16037600000000002,2.2449368178822693e-16,5.432310702985434e-15,0.9178611584432378
10,simple,20260732,constant_mean_alpha,0.9908009437882018,0.3705614325981955,0.16037600000000002,2.2449368178822693e-16,5.432310702985434e-15,0.9178611584432378
10,simple,20260733,constant_mean_alpha,0.9908009437882018,0.3705614325981955,0.16037600000000002,2.2449368178822693e-16,5.432310702985434e-15,0.9178611584432378
10,medium,20260729,constant_mean_alpha,0.9957459619476925,0.5025802333892524,0.12821054329318332,4.518572915834791e-16,8.453885036053513e-15,0.8455697359888961
10,medium,20260730,constant_mean_alpha,0.9957459619476925,0.5025802333892524,0.12821054329318332,4.518572915834791e-16,8.453885036053513e-15,0.8455697359888961
10,medium,20260731,constant_mean_alpha,0.9957459619476925,0.5025802333892524,0.12821054329318332,4.518572915834791e-16,8.453885036053513e-15,0.8455697359888961
10,medium,20260732,constant_mean_alpha,0.9957459619476925,0.5025802333892524,0.12821054329318332,4.518572915834791e-16,8.453885036053513e-15,0.8455697359888961
10,medium,20260733,constant_mean_alpha,0.9957459619476925,0.5025802333892524,0.12821054329318332,4.518572915834791e-16,8.453885036053513e-15,0.8455697359888961
10,complex,20260729,constant_mean_alpha,0.999110256964951,0.7829900813822612,0.0651541164242174,7.260007976012517e-16,1.794893255927693e-14,0.5895261694957382
10,complex,20260730,constant_mean_alpha,0.999110256964951,0.7829900813822612,0.0651541164242174,7.260007976012517e-16,1.794893255927693e-14,0.5895261694957382
10,complex,20260731,constant_mean_alpha,0.999110256964951,0.7829900813822612,0.0651541164242174,7.260007976012517e-16,1.794893255927693e-14,0.5895261694957382
10,complex,20260732,constant_mean_alpha,0.999110256964951,0.7829900813822612,0.0651541164242174,7.260007976012517e-16,1.794893255927693e-14,0.5895261694957382
10,complex,20260733,constant_mean_alpha,0.999110256964951,0.7829900813822612,0.0651541164242174,7.260007976012517e-16,1.794893255927693e-14,0.5895261694957382
